count,season,speaker
1060.0,9.0,Dwight
797.0,9.0,Jim
731.0,9.0,Pam
636.0,9.0,Andy
379.0,9.0,Angela
377.0,9.0,Erin
293.0,9.0,Oscar
286.0,9.0,Nellie
275.0,9.0,Darryl
265.0,9.0,Kevin
245.0,9.0,Clark
127.0,9.0,Phyllis
122.0,9.0,Toby
114.0,9.0,Meredith
96.0,9.0,Stanley
91.0,9.0,David Wallace
52.0,9.0,Creed
33.0,9.0,Jan
20.0,9.0,Gabe
16.0,9.0,Ryan
14.0,9.0,Kelly
11.0,9.0,Roy
9.0,9.0,Robert
2.0,9.0,Michael
1124.0,8.0,Andy
946.0,8.0,Dwight
866.0,8.0,Jim
475.0,8.0,Pam
425.0,8.0,Erin
404.0,8.0,Robert
312.0,8.0,Darryl
247.0,8.0,Kevin
235.0,8.0,Oscar
232.0,8.0,Nellie
189.0,8.0,Ryan
166.0,8.0,Angela
123.0,8.0,Kelly
123.0,8.0,Phyllis
119.0,8.0,Gabe
106.0,8.0,Toby
91.0,8.0,Stanley
83.0,8.0,Meredith
32.0,8.0,Creed
26.0,8.0,David Wallace
1391.0,7.0,Michael
692.0,7.0,Dwight
677.0,7.0,Jim
611.0,7.0,Pam
551.0,7.0,Andy
310.0,7.0,Erin
264.0,7.0,Holly
240.0,7.0,Kevin
225.0,7.0,Darryl
211.0,7.0,Gabe
194.0,7.0,Oscar
175.0,7.0,Ryan
159.0,7.0,Angela
153.0,7.0,Kelly
147.0,7.0,Phyllis
97.0,7.0,Toby
74.0,7.0,Stanley
70.0,7.0,Meredith
66.0,7.0,Creed
17.0,7.0,Jan
17.0,7.0,Robert
12.0,7.0,David Wallace
9.0,7.0,Nellie
1.0,7.0,Karen
1970.0,6.0,Michael
922.0,6.0,Jim
809.0,6.0,Dwight
704.0,6.0,Pam
536.0,6.0,Andy
295.0,6.0,Erin
227.0,6.0,Kevin
176.0,6.0,Oscar
138.0,6.0,Phyllis
136.0,6.0,Angela
125.0,6.0,Ryan
122.0,6.0,David Wallace
120.0,6.0,Kelly
99.0,6.0,Toby
86.0,6.0,Gabe
84.0,6.0,Darryl
82.0,6.0,Meredith
71.0,6.0,Stanley
38.0,6.0,Creed
13.0,6.0,Clark
2153.0,5.0,Michael
1063.0,5.0,Dwight
867.0,5.0,Jim
704.0,5.0,Pam
495.0,5.0,Andy
269.0,5.0,Holly
218.0,5.0,Angela
212.0,5.0,Oscar
183.0,5.0,Kevin
179.0,5.0,Phyllis
166.0,5.0,Ryan
156.0,5.0,David Wallace
153.0,5.0,Kelly
115.0,5.0,Meredith
112.0,5.0,Stanley
100.0,5.0,Darryl
71.0,5.0,Toby
64.0,5.0,Jan
53.0,5.0,Erin
52.0,5.0,Creed
22.0,5.0,Karen
14.0,5.0,Roy
1630.0,4.0,Michael
683.0,4.0,Jim
543.0,4.0,Dwight
525.0,4.0,Pam
226.0,4.0,Ryan
222.0,4.0,Andy
212.0,4.0,Jan
188.0,4.0,Angela
144.0,4.0,Toby
139.0,4.0,Kevin
111.0,4.0,Oscar
98.0,4.0,Phyllis
93.0,4.0,Kelly
81.0,4.0,Stanley
73.0,4.0,Holly
67.0,4.0,Creed
61.0,4.0,Meredith
59.0,4.0,Darryl
24.0,4.0,Karen
7.0,4.0,David Wallace
1981.0,3.0,Michael
929.0,3.0,Dwight
770.0,3.0,Jim
645.0,3.0,Pam
388.0,3.0,Andy
297.0,3.0,Jan
287.0,3.0,Karen
236.0,3.0,Angela
207.0,3.0,Kevin
196.0,3.0,Ryan
174.0,3.0,Kelly
122.0,3.0,Toby
112.0,3.0,Phyllis
93.0,3.0,Stanley
89.0,3.0,Roy
88.0,3.0,Darryl
72.0,3.0,Oscar
69.0,3.0,Creed
64.0,3.0,David Wallace
58.0,3.0,Meredith
1892.0,2.0,Michael
853.0,2.0,Dwight
761.0,2.0,Jim
620.0,2.0,Pam
234.0,2.0,Jan
163.0,2.0,Ryan
135.0,2.0,Angela
122.0,2.0,Kevin
111.0,2.0,Toby
100.0,2.0,Oscar
96.0,2.0,Kelly
94.0,2.0,Phyllis
85.0,2.0,Roy
81.0,2.0,Stanley
63.0,2.0,Darryl
52.0,2.0,Creed
32.0,2.0,Meredith
12.0,2.0,David Wallace
509.0,1.0,Michael
231.0,1.0,Jim
222.0,1.0,Dwight
166.0,1.0,Pam
42.0,1.0,Oscar
38.0,1.0,Jan
37.0,1.0,Ryan
34.0,1.0,Roy
24.0,1.0,Stanley
23.0,1.0,Angela
23.0,1.0,Kevin
15.0,1.0,Darryl
13.0,1.0,Meredith
12.0,1.0,Toby
11.0,1.0,Phyllis
2.0,1.0,Kelly
